Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoEs_bIntrSTTEsHiEngSpd|boolean|HEADER|1|0|0|CoEs_bIntrSTTEsHiEngSpd|0|0|Phys|bool|2|0||STT|STT||CoEs_bIntrSTTEsHiEngSpd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bIntrSTTEsLoEngSpd|boolean|HEADER|1|0|0|CoEs_bIntrSTTEsLoEngSpd|0|0|Phys|bool|2|0||NOPROD|NOPROD||CoEs_bIntrSTTEsLoEngSpd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
Cranking_retry|boolean|HEADER|1|0|0|Cranking_retry|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Cranking_retry||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Date_emf_arret_a|uint8|TIENGSTOP|0|0|0|Date_emf_arret_a|0|0|Phys|an|1|1|0|TiEngStop|TiEngStop||Date_emf_arret_a||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Date_emf_arret_j|uint16|TIENGSTOP|0|0|0|Date_emf_arret_j|0|0|Phys|jour|1|1|0|TiEngStop|TiEngStop||Date_emf_arret_j||1||||||||0|1||||1|0|0||0|0|365|0|365|0|
Date_emf_arret_s|uint32|TIENGSTOP|0|0|0|Date_emf_arret_s|0|0|Phys|s|1|1|0|TiEngStop|TiEngStop||Date_emf_arret_s||1||||||||0|1||||1|0|0||0|0|586639|0|586639|0|
Date_emf_available_mux|boolean|HEADER|1|0|0|Date_emf_available_mux|0|0|Phys|bool|2|0||FHCAN|FHCAN||Date_emf_available_mux||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Date_emf_dem_calcule|boolean|TIENGSTOP|0|0|0|Date_emf_dem_calcule|0|0|Phys|bool|2|0||TiEngStop|TiEngStop||Date_emf_dem_calcule||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Date_emf_demarrage_a|uint8|HEADER|1|0|0|Date_emf_demarrage_a|0|0|Phys|an|1|1|0|Eeprom|Eeprom||Date_emf_demarrage_a||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Date_emf_demarrage_j|uint16|HEADER|1|0|0|Date_emf_demarrage_j|0|0|Phys|jour|1|1|0|Eeprom|Eeprom||Date_emf_demarrage_j||1||||||||0|1||||1|0|0||0|0|365|0|365|0|
Date_emf_demarrage_s|uint32|HEADER|1|0|0|Date_emf_demarrage_s|0|0|Phys|s|1|1|0|Eeprom|Eeprom||Date_emf_demarrage_s||1||||||||0|1||||1|0|0||0|0|586639|0|586639|0|
Date_emf_dernier_arret_a|uint8|HEADER|1|0|0|Date_emf_dernier_arret_a|0|0|Phys|an|1|1|0|Eeprom|Eeprom||Date_emf_dernier_arret_a||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Date_emf_dernier_arret_j|uint16|HEADER|1|0|0|Date_emf_dernier_arret_j|0|0|Phys|jour|1|1|0|Eeprom|Eeprom||Date_emf_dernier_arret_j||1||||||||0|1||||1|0|0||0|0|365|0|365|0|
Date_emf_dernier_arret_s|uint32|HEADER|1|0|0|Date_emf_dernier_arret_s|0|0|Phys|s|1|1|0|Eeprom|Eeprom||Date_emf_dernier_arret_s||1||||||||0|1||||1|0|0||0|0|586639|0|586639|0|
Date_emf_dernier_reveil_a|uint8|HEADER|1|0|0|Date_emf_dernier_reveil_a|0|0|Phys|an|1|1|0|Eeprom|Eeprom||Date_emf_dernier_reveil_a||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Date_emf_dernier_reveil_j|uint16|HEADER|1|0|0|Date_emf_dernier_reveil_j|0|0|Phys|jour|1|1|0|Eeprom|Eeprom||Date_emf_dernier_reveil_j||1||||||||0|1||||1|0|0||0|0|365|0|365|0|
Date_emf_dernier_reveil_s|uint32|HEADER|1|0|0|Date_emf_dernier_reveil_s|0|0|Phys|s|1|1|0|Eeprom|Eeprom||Date_emf_dernier_reveil_s||1||||||||0|1||||1|0|0||0|0|586639|0|586639|0|
Date_emf_init_time_since_stall|boolean|TIENGSTOP|0|0|0|Date_emf_init_time_since_stall|0|0|Phys|bool|2|0||TiEngStop|TiEngStop||Date_emf_init_time_since_stall||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Date_emf_reveil_a|uint8|TIENGSTOP|0|0|0|Date_emf_reveil_a|0|0|Phys|an|1|1|0|TiEngStop|TiEngStop||Date_emf_reveil_a||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Date_emf_reveil_j|uint16|TIENGSTOP|0|0|0|Date_emf_reveil_j|0|0|Phys|jour|1|1|0|TiEngStop|TiEngStop||Date_emf_reveil_j||1||||||||0|1||||1|0|0||0|0|365|0|365|0|
Date_emf_reveil_s|uint32|TIENGSTOP|0|0|0|Date_emf_reveil_s|0|0|Phys|s|1|1|0|TiEngStop|TiEngStop||Date_emf_reveil_s||1||||||||0|1||||1|0|0||0|0|586639|0|586639|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Driven_Restart|uint8|HEADER|1|0|0|Driven_Restart|0|0|Phys|-|||||||Driven_Restart||3||||||||0|1|||7|0|0|0||0|||||0|
ECU_bWkuMain|boolean|HEADER|1|0|0|ECU_bWkuMain|0|0|Phys|bool|2|0||Divers|Divers||ECU_bWkuMain||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EngSt_bAcvChangeOfMind|boolean|TIENGSTOP|1|0|0|EngSt_bAcvChangeOfMind|0|0|Phys|bool|2|0||Divers|Divers||EngSt_bAcvChangeOfMind||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EngSt_bAcvChgMind_C|boolean|TIENGSTOP|1|0|0|EngSt_bAcvChgMind_C|0|0|Phys|bool|2|0||TiEngStop|TiEngStop||EngSt_bAcvChgMind_C||2|||||||PTS_DOC_5329313|1|1||||1|0|0|Activation de la détection « Change of Mind » sur absence du  signal « CoEs_bIntrSTTEsLoEngSpd »|0|0|1|0|1|0|
EngSt_bAcvTairCANModDftSel_C|boolean|TIENGSTOP|1|0|0|EngSt_bAcvTairCANModDftSel_C|0|0|Phys|bool|2|0||Divers|Divers||EngSt_bAcvTairCANModDftSel_C||2|||||||PTS_DOC_5329313|1|1||||1|0|0|Booléen de sélection du mode de calcul de la température d'air pour l'estimation du temps d'arrêt moteur|0|0|1|0|1|0|
EngSt_bDetEngStallSTT|boolean|TIENGSTOP|0|0|0|EngSt_bDetEngStallSTT|0|0|Phys|bool|2|0||Divers|Divers||EngSt_bDetEngStallSTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
